Team,Year,Off_Eff_FGperc,Off_ORRate,Off_TORate,Off_FTRate,Def_Eff_FGperc,Def_ORRate,Def_TORate,Def_FTRate,wins_82
Atlanta Hawks,1996-1997,0.498,0.315,0.164,0.236,0.472,0.308,0.167,0.192,56.00000000000001
Boston Celtics,1996-1997,0.474,0.294,0.163,0.237,0.539,0.315,0.177,0.243,15.0
Charlotte Hornets,1996-1997,0.518,0.287,0.157,0.243,0.496,0.319,0.149,0.204,54.0
Chicago Bulls,1996-1997,0.511,0.359,0.145,0.2,0.471,0.307,0.168,0.196,69.0
Cleveland Cavaliers,1996-1997,0.493,0.294,0.163,0.215,0.482,0.281,0.186,0.282,42.0
Dallas Mavericks,1996-1997,0.469,0.3,0.17,0.213,0.5,0.327,0.168,0.229,24.0
Denver Nuggets,1996-1997,0.486,0.288,0.168,0.227,0.501,0.307,0.131,0.206,21.0
Detroit Pistons,1996-1997,0.512,0.275,0.141,0.244,0.487,0.296,0.164,0.197,54.0
Golden State Warriors,1996-1997,0.493,0.323,0.177,0.258,0.518,0.325,0.162,0.234,30.0
Houston Rockets,1996-1997,0.52,0.284,0.173,0.232,0.481,0.286,0.149,0.19,56.99999999999999
Indiana Pacers,1996-1997,0.49,0.313,0.172,0.27,0.48,0.296,0.163,0.258,39.0
Los Angeles Clippers,1996-1997,0.482,0.308,0.166,0.227,0.499,0.319,0.173,0.269,36.0
Los Angeles Lakers,1996-1997,0.496,0.316,0.155,0.243,0.478,0.315,0.171,0.231,56.00000000000001
Miami Heat,1996-1997,0.507,0.292,0.171,0.233,0.465,0.294,0.174,0.248,61.0
Milwaukee Bucks,1996-1997,0.496,0.297,0.168,0.248,0.501,0.301,0.157,0.253,33.0
Minnesota Timberwolves,1996-1997,0.485,0.288,0.161,0.254,0.486,0.317,0.162,0.252,40.0
New Jersey Nets,1996-1997,0.456,0.364,0.16,0.212,0.503,0.31,0.158,0.244,26.0
New York Knicks,1996-1997,0.501,0.305,0.19,0.255,0.463,0.266,0.167,0.279,56.99999999999999
Orlando Magic,1996-1997,0.481,0.309,0.163,0.227,0.495,0.327,0.172,0.211,45.0
Philadelphia 76ers,1996-1997,0.47,0.341,0.174,0.259,0.51,0.335,0.157,0.222,22.0
